name,entry,size,thunk,calling_convention
___free_lc_time,0040497c,887,0,__cdecl
FID_conflict:_memcpy,00403790,708,0,__cdecl
__ioinit,0040207d,581,0,__cdecl
__setmbcp_nolock,004041f4,489,0,__cdecl
__crtLCMapStringA_stat,00404e5a,487,0,__cdecl
__NMSG_WRITE,004019cd,431,0,__cdecl
setSBUpLow,00403ebd,400,0,__cdecl
__except_handler4,00401080,399,0,__cdecl
FUN_004043dd,004043dd,399,0,__stdcall
_raise,00402d30,398,0,__cdecl
__mtinit,00402607,379,0,__cdecl
___crtMessageBoxW,0040330b,364,0,__cdecl
wparse_cmdline,00401e21,342,0,__cdecl
___freetlocinfo,00403c19,331,0,__cdecl
__XcptFilter,00401bb5,330,0,__cdecl
___tmainCRTStartup,00401238,319,0,__stdcall
doexit,004017ff,305,0,__cdecl
__call_reportfault,00402f00,297,0,__cdecl
___report_gsfailure,00402894,262,0,__cdecl
___free_lconv_mon,00404d5c,254,0,__cdecl
FUN_00404869,00404869,253,0,__fastcall
__crtGetStringTypeA_stat,00405087,231,0,__cdecl
__wsetenvp,00401d45,219,0,__cdecl
_wcsncpy_s,004034ec,205,0,__cdecl
__mtinitlocknum,00402bd9,185,0,__cdecl
__VEC_memzero,004051dc,183,0,__fastcall
__onexit_nolock,00403117,182,0,__cdecl
__wsetargv,00401f77,174,0,__cdecl
_realloc,004047bc,173,0,__cdecl
__IsNonwritableInCurrentImage,004015b0,166,0,__cdecl
__initptd,00402391,156,0,__cdecl
___security_init_cookie,004027f9,155,0,__cdecl
___removelocaleref,00403b80,153,0,__cdecl
___updatetmbcinfo,0040404d,152,0,__cdecl
__cinit,00401768,151,0,__cdecl
_malloc,004046a6,148,0,__cdecl
__local_unwind4,004013c0,144,0,__cdecl
___addlocaleref,00403af1,143,0,__cdecl
_strlen,00403280,139,0,__cdecl
_LocaleUpdate,004040f1,135,0,__thiscall
__local_unwind2,00402a05,132,0,__cdecl
__calloc_impl,0040473a,130,0,__cdecl
getSystemCP,00404178,124,0,__cdecl
_memset,004045f0,122,0,__cdecl
__getptd_noexit,00402445,121,0,__cdecl
_wcscat_s,00403477,117,0,__cdecl
___updatetlocinfo,00403db1,109,0,__cdecl
___free_lconv_num,00404cf3,105,0,__cdecl
setSBCS,00403e59,100,0,__cdecl
