name,entry,size,thunk,calling_convention
FUN_10019eb0,10019eb0,10088,0,unknown
FUN_1002b080,1002b080,9678,0,unknown
FUN_10020e70,10020e70,8324,0,unknown
FUN_10022f40,10022f40,8188,0,unknown
FUN_10015f90,10015f90,5717,0,unknown
FUN_1001da00,1001da00,4602,0,unknown
FUN_10041b80,10041b80,4372,0,unknown
FUN_1004adc0,1004adc0,4208,0,unknown
FUN_1003b0f0,1003b0f0,4015,0,unknown
FUN_1003a1c0,1003a1c0,3881,0,unknown
FUN_1000cb60,1000cb60,3515,0,unknown
FUN_10053ef0,10053ef0,3471,0,unknown
FUN_10050aa0,10050aa0,3220,0,unknown
FUN_1005f1b0,1005f1b0,2691,0,unknown
FUN_10009da0,10009da0,2497,0,unknown
FUN_1004f7b0,1004f7b0,2484,0,unknown
FUN_1000fab0,1000fab0,2421,0,unknown
FUN_10045440,10045440,2415,0,unknown
FUN_10002b40,10002b40,2401,0,unknown
FUN_100155d0,100155d0,2323,0,unknown
FUN_10052420,10052420,2231,0,unknown
FUN_10019130,10019130,2179,0,unknown
FUN_10053100,10053100,2131,0,unknown
FUN_10008c40,10008c40,2114,0,unknown
FUN_10030240,10030240,2090,0,unknown
FUN_10049980,10049980,2083,0,unknown
FUN_10011a90,10011a90,2065,0,unknown
FUN_10046bf0,10046bf0,2062,0,unknown
FUN_10036eb0,10036eb0,2041,0,unknown
FUN_10051a60,10051a60,1951,0,unknown
FUN_1003e640,1003e640,1927,0,unknown
FUN_1001ce10,1001ce10,1917,0,unknown
FUN_100476a0,100476a0,1848,0,unknown
FUN_1001fc50,1001fc50,1811,0,unknown
FUN_1004ca50,1004ca50,1804,0,unknown
FUN_100034b0,100034b0,1798,0,unknown
FUN_100183e0,100183e0,1785,0,unknown
FUN_10010d90,10010d90,1781,0,unknown
FUN_10045f20,10045f20,1775,0,unknown
FUN_10054db0,10054db0,1657,0,unknown
FUN_10010450,10010450,1599,0,unknown
FUN_1000f090,1000f090,1597,0,unknown
FUN_1000b000,1000b000,1540,0,unknown
FUN_100446e0,100446e0,1523,0,unknown
FUN_1003cb40,1003cb40,1516,0,unknown
FUN_100435b0,100435b0,1420,0,unknown
FUN_100329a0,100329a0,1416,0,unknown
FUN_1003f350,1003f350,1389,0,unknown
FUN_1002a740,1002a740,1376,0,unknown
FUN_1003d830,1003d830,1370,0,unknown
FUN_10049420,10049420,1349,0,unknown
FUN_10031790,10031790,1339,0,unknown
FUN_10025590,10025590,1325,0,unknown
FUN_1000b8f0,1000b8f0,1308,0,unknown
FUN_10014c80,10014c80,1285,0,unknown
FUN_10058160,10058160,1284,0,unknown
FUN_1005ad70,1005ad70,1284,0,unknown
