name,entry,size,thunk,calling_convention
FUN_10074360,10074360,11311,0,unknown
FUN_10008d90,10008d90,8762,0,unknown
FUN_1000fa00,1000fa00,7920,0,unknown
FUN_100726e0,100726e0,7195,0,unknown
FUN_100423a0,100423a0,5494,0,unknown
FUN_10053400,10053400,5398,0,unknown
FUN_10047200,10047200,5354,0,unknown
FUN_10019e00,10019e00,5112,0,unknown
FUN_100033f0,100033f0,4693,0,unknown
FUN_10048c30,10048c30,4243,0,unknown
FUN_10012560,10012560,3655,0,unknown
FUN_1005bbe0,1005bbe0,3347,0,unknown
FUN_1003bc30,1003bc30,2944,0,unknown
FUN_10011980,10011980,2733,0,unknown
FUN_1002aef0,1002aef0,2710,0,unknown
FUN_10056070,10056070,2689,0,unknown
FUN_10076fe0,10076fe0,2636,0,unknown
FUN_1000eda0,1000eda0,2629,0,unknown
FUN_10028320,10028320,2507,0,unknown
FUN_1004c1b0,1004c1b0,2470,0,unknown
FUN_10077a30,10077a30,2462,0,unknown
FUN_1001cd40,1001cd40,2422,0,unknown
FUN_1002e670,1002e670,2401,0,unknown
FUN_1003d2b0,1003d2b0,2289,0,unknown
FUN_1001bcd0,1001bcd0,2257,0,unknown
FUN_100649f0,100649f0,2201,0,unknown
FUN_100140a0,100140a0,2187,0,unknown
FUN_10026190,10026190,2111,0,unknown
FUN_10028d10,10028d10,2107,0,unknown
FUN_10027ae0,10027ae0,2104,0,unknown
FUN_10029550,10029550,2102,0,unknown
FUN_10029df0,10029df0,2102,0,unknown
FUN_1002a630,1002a630,2102,0,unknown
FUN_10026f20,10026f20,2093,0,unknown
FUN_10023400,10023400,2038,0,unknown
FUN_1006dae0,1006dae0,1996,0,unknown
FUN_1003a450,1003a450,1971,0,unknown
FUN_10038230,10038230,1944,0,unknown
FUN_10035b70,10035b70,1906,0,unknown
FUN_1005dde0,1005dde0,1906,0,unknown
FUN_10018b20,10018b20,1889,0,unknown
FUN_10034c90,10034c90,1881,0,unknown
FUN_1000dfb0,1000dfb0,1823,0,unknown
FUN_1002efe0,1002efe0,1798,0,unknown
FUN_10068970,10068970,1782,0,unknown
FUN_100594d0,100594d0,1777,0,unknown
FUN_1000bf80,1000bf80,1715,0,unknown
FUN_10013410,10013410,1711,0,unknown
FUN_10039080,10039080,1703,0,unknown
FUN_10058ab0,10058ab0,1653,0,unknown
FUN_10018280,10018280,1652,0,unknown
FUN_1000cbe0,1000cbe0,1641,0,unknown
FUN_1000d910,1000d910,1630,0,unknown
FUN_100247c0,100247c0,1596,0,unknown
FUN_1006e7c0,1006e7c0,1589,0,unknown
FUN_100406d0,100406d0,1587,0,unknown
FUN_100149c0,100149c0,1584,0,unknown
FUN_10069800,10069800,1581,0,unknown
FUN_10019290,10019290,1536,0,unknown
FUN_1000d2f0,1000d2f0,1480,0,unknown
FUN_10023c00,10023c00,1469,0,unknown
FUN_1000e700,1000e700,1463,0,unknown
FUN_10025bc0,10025bc0,1463,0,unknown
FUN_1001e4c0,1001e4c0,1421,0,unknown
FUN_1001b200,1001b200,1410,0,unknown
FUN_1003e6d0,1003e6d0,1391,0,unknown
FUN_10016720,10016720,1377,0,unknown
FUN_10017d20,10017d20,1372,0,unknown
FUN_1001deb0,1001deb0,1357,0,unknown
FUN_100269d0,100269d0,1351,0,unknown
FUN_1004cd40,1004cd40,1327,0,unknown
FUN_100343e0,100343e0,1326,0,unknown
FUN_10038b60,10038b60,1307,0,unknown
FUN_1001f9c0,1001f9c0,1262,0,unknown
FUN_10063580,10063580,1238,0,unknown
FUN_10055110,10055110,1232,0,unknown
FUN_10022ee0,10022ee0,1228,0,unknown
FUN_1000bab0,1000bab0,1221,0,unknown
FUN_1006cc60,1006cc60,1214,0,unknown
FUN_1003b6c0,1003b6c0,1209,0,unknown
FUN_1004dfe0,1004dfe0,1203,0,unknown
FUN_1003eda0,1003eda0,1196,0,unknown
FUN_1004f020,1004f020,1188,0,unknown
FUN_10021fe0,10021fe0,1187,0,unknown
FUN_1003dd20,1003dd20,1163,0,unknown
FUN_100226d0,100226d0,1154,0,unknown
FUN_10066440,10066440,1151,0,unknown
FUN_1000afd0,1000afd0,1141,0,unknown
