name,entry,size,thunk,calling_convention
FUN_004728d0,004728d0,8865,0,unknown
FUN_00470b40,00470b40,7528,0,unknown
FUN_004896e0,004896e0,6429,0,unknown
FUN_004fde10,004fde10,5466,0,unknown
FUN_0051e4f0,0051e4f0,5099,0,unknown
FUN_005049d0,005049d0,4761,0,unknown
FUN_00507dd0,00507dd0,4001,0,unknown
FUN_00439e20,00439e20,3882,0,unknown
FUN_0048c980,0048c980,3809,0,unknown
FUN_00468030,00468030,3753,0,unknown
FUN_004872e0,004872e0,3752,0,unknown
FUN_00449000,00449000,3639,0,unknown
FUN_005181f0,005181f0,3610,0,unknown
FUN_00455e10,00455e10,3503,0,unknown
FUN_0050a1a0,0050a1a0,3327,0,unknown
FUN_004b1100,004b1100,3172,0,unknown
FUN_0048b0e0,0048b0e0,3155,0,unknown
FUN_0048bd40,0048bd40,3118,0,unknown
FUN_0044dcd0,0044dcd0,2988,0,unknown
FUN_00514550,00514550,2980,0,unknown
FUN_00519d10,00519d10,2917,0,unknown
FUN_0048f0c0,0048f0c0,2847,0,unknown
FUN_004aa610,004aa610,2689,0,unknown
FUN_0048e160,0048e160,2655,0,unknown
FUN_00408340,00408340,2632,0,unknown
FUN_004224e0,004224e0,2491,0,unknown
FUN_004e8c80,004e8c80,2484,0,unknown
FUN_004d5d50,004d5d50,2398,0,unknown
FUN_00517620,00517620,2392,0,unknown
FUN_004c2170,004c2170,2388,0,unknown
FUN_004e0750,004e0750,2381,0,unknown
FUN_00521270,00521270,2362,0,unknown
FUN_0048fc10,0048fc10,2330,0,unknown
FUN_00470200,00470200,2317,0,unknown
FUN_004cf640,004cf640,2313,0,unknown
FUN_0048d870,0048d870,2278,0,unknown
FUN_0051dca0,0051dca0,2119,0,unknown
FUN_0041d720,0041d720,2096,0,unknown
FUN_0043e030,0043e030,2080,0,unknown
FUN_004a4a50,004a4a50,2056,0,unknown
FUN_004ff4d0,004ff4d0,2014,0,unknown
FUN_0043d350,0043d350,1991,0,unknown
FUN_004bc690,004bc690,1951,0,unknown
FUN_004423e0,004423e0,1872,0,unknown
FUN_004957f0,004957f0,1858,0,unknown
FUN_004401e0,004401e0,1851,0,unknown
FUN_0046b060,0046b060,1849,0,unknown
FUN_00490550,00490550,1822,0,unknown
FUN_005099c0,005099c0,1780,0,unknown
FUN_005076d0,005076d0,1777,0,unknown
FUN_004cbfd0,004cbfd0,1773,0,unknown
FUN_00491050,00491050,1772,0,unknown
FUN_00475ed0,00475ed0,1764,0,unknown
FUN_00427940,00427940,1760,0,unknown
FUN_0049bae0,0049bae0,1732,0,unknown
FUN_00519020,00519020,1727,0,unknown
FUN_004c1aa0,004c1aa0,1716,0,unknown
FUN_004814a0,004814a0,1702,0,unknown
FUN_0041f3c0,0041f3c0,1701,0,unknown
FUN_00500cc8,00500cc8,1642,0,unknown
FUN_00453a80,00453a80,1641,0,unknown
