name,entry,size,thunk,calling_convention
FUN_1000b0e0,1000b0e0,8704,0,unknown
FUN_10007030,10007030,5861,0,unknown
FUN_10012d90,10012d90,2737,0,unknown
FUN_1001bfb0,1001bfb0,2691,0,unknown
FUN_1000eba0,1000eba0,1425,0,unknown
FUN_10002550,10002550,1380,0,unknown
FUN_100045b0,100045b0,1379,0,unknown
FUN_100108d0,100108d0,1353,0,unknown
FUN_10014f00,10014f00,1284,0,unknown
FUN_10017b90,10017b90,1284,0,unknown
FUN_1000deb0,1000deb0,1267,0,unknown
FUN_100097b0,100097b0,1212,0,unknown
FUN_10003190,10003190,1189,0,unknown
FUN_1000fab0,1000fab0,1156,0,unknown
FUN_1001ca50,1001ca50,1144,0,unknown
FUN_1001ced0,1001ced0,1140,0,unknown
FUN_10019a10,10019a10,1072,0,unknown
FUN_10008730,10008730,1063,0,unknown
FUN_10001f70,10001f70,992,0,unknown
FUN_10013e70,10013e70,986,0,unknown
FUN_10018870,10018870,981,0,unknown
FUN_10005c20,10005c20,965,0,unknown
FUN_10005850,10005850,962,0,unknown
FUN_100203a0,100203a0,928,0,unknown
FUN_1001bc30,1001bc30,894,0,unknown
FUN_10008b60,10008b60,802,0,unknown
FUN_1000d740,1000d740,789,0,unknown
FUN_10017570,10017570,777,0,unknown
FUN_10009d30,10009d30,773,0,unknown
FUN_10010e30,10010e30,763,0,unknown
FUN_10012900,10012900,753,0,unknown
FUN_100156b0,100156b0,747,0,unknown
FUN_10004b20,10004b20,739,0,unknown
FUN_1000db60,1000db60,732,0,unknown
FUN_10013ba0,10013ba0,718,0,unknown
FUN_10011c50,10011c50,700,0,unknown
FUN_1001d7b0,1001d7b0,697,0,unknown
FUN_100093b0,100093b0,688,0,unknown
FUN_10005ff0,10005ff0,684,0,unknown
FUN_100062a0,100062a0,684,0,unknown
FUN_1000ae50,1000ae50,632,0,unknown
FUN_1001a150,1001a150,628,0,unknown
FUN_10010660,10010660,622,0,unknown
FUN_10009080,10009080,609,0,unknown
FUN_1001a3d0,1001a3d0,600,0,unknown
FUN_1001a8e0,1001a8e0,587,0,unknown
FUN_1001b9e0,1001b9e0,583,0,unknown
FUN_10002e20,10002e20,576,0,unknown
FUN_10006c60,10006c60,562,0,unknown
FUN_10019f10,10019f10,561,0,unknown
FUN_1000a9d0,1000a9d0,543,0,unknown
FUN_10011a30,10011a30,536,0,unknown
FUN_1001b7c0,1001b7c0,530,0,unknown
FUN_1001f7c0,1001f7c0,528,0,unknown
FUN_10012550,10012550,526,0,unknown
